127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/css/calendar.css, HTTP/1.1, 200, 0.003195
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000688
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001063
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000782
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000985
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/js/share.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000937
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/images/gplus-32.png, HTTP/1.1, 200, 0.000673
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/images/twitter.png, HTTP/1.1, 200, 0.001125
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/images/facebook.png, HTTP/1.1, 200, 0.000593
127.0.0.1, 2014-12-18 14:37:44, GET, /Page_app/static/images/favicon.ico, HTTP/1.1, 200, 0.000678
127.0.0.1, 2014-12-18 14:37:57, GET, /admin/default/index, HTTP/1.1, 303, 0.007776
127.0.0.1, 2014-12-18 14:37:57, GET, /admin/default/site, HTTP/1.1, 200, 0.041849
127.0.0.1, 2014-12-18 14:38:01, GET, /admin/default/design/Page_app, HTTP/1.1, 200, 0.086028
127.0.0.1, 2014-12-18 14:41:07, GET, /admin/default/peek/Page_app/languages/default.py, HTTP/1.1, 200, 0.043364
127.0.0.1, 2014-12-18 14:41:12, GET, /admin/default/design/Page_app, HTTP/1.1, 200, 0.085978
127.0.0.1, 2014-12-18 14:41:22, GET, /Page_app/appadmin/graph_model, HTTP/1.1, 200, 0.040198
127.0.0.1, 2014-12-18 14:41:28, GET, /admin/default/design/Page_app, HTTP/1.1, 200, 0.084461
127.0.0.1, 2014-12-18 14:41:37, GET, /Page_app/appadmin/index, HTTP/1.1, 200, 0.037572
127.0.0.1, 2014-12-18 14:41:39, GET, /admin/default/design/Page_app, HTTP/1.1, 200, 0.094851
127.0.0.1, 2014-12-18 14:41:45, GET, /admin/default/peek/Page_app/views/web2py_ajax.html, HTTP/1.1, 200, 0.034326
127.0.0.1, 2014-12-18 14:41:47, GET, /admin/default/design/Page_app, HTTP/1.1, 200, 0.084195
127.0.0.1, 2014-12-18 14:41:49, GET, /Page_app/default/index, HTTP/1.1, 200, 0.017990
127.0.0.1, 2014-12-18 14:41:57, GET, /admin/default/peek/Page_app/views/default/index.html, HTTP/1.1, 200, 0.044021
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/default/edit/Page_app/views/default/index.html, HTTP/1.1, 200, 0.038665
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000295
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001311
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001237
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001004
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000851
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001337
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000654
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001215
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001102
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000510
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001176
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001281
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001076
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001924
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001173
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001282
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001017
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001961
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001959
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000226
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000836
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001503
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001491
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001518
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001433
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001500
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000450
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001672
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001555
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/js/typeahead.min.js, HTTP/1.1, 200, 0.000972
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/js/ajax_editor.js, HTTP/1.1, 200, 0.001879
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002902
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001786
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000480
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/images/files_toggle.png, HTTP/1.1, 200, 0.000692
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000722
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/default/edit/Page_app/views/default/index.html, HTTP/1.1, 200, 0.046671
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.075550
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.003513
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109313
127.0.0.1, 2014-12-18 14:42:01, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.075584
127.0.0.1, 2014-12-18 14:42:01, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.219646
127.0.0.1, 2014-12-18 14:42:49, GET, /admin/default/peek/Page_app/views/default/index.html, HTTP/1.1, 200, 0.038850
127.0.0.1, 2014-12-18 14:42:52, GET, /admin/default/design/Page_app, HTTP/1.1, 200, 0.085566
127.0.0.1, 2014-12-18 14:42:55, GET, /Page_app/default/index, HTTP/1.1, 200, 0.443475
127.0.0.1, 2014-12-18 14:43:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035674
